SKU,Product_Name,Category,Seller_ID,Selling_Price,Cost_Price,Weight_kg,Volume_cbm,ABC_Category,Supplier,Lead_Time_Days
SKU00066,Earbuds Pro,Electronics,SEL0123,7087.29,4782.22,2.1,3.892,C,Supplier 32,4
SKU00067,Handbag Lite,Fashion,SEL0113,1187.91,951.37,1.71,3.167,A,Supplier 45,15
SKU00068,LED Lamp Classic,Home,SEL0013,3299.46,2170.13,3.22,7.041,A,Supplier 59,14
SKU00069,Smartwatch Lite,Electronics,SEL0099,7353.96,4763.58,7.81,15.792,A,Supplier 37,6
SKU00070,Sneakers Plus,Fashion,SEL0034,1122.68,758.25,4.55,7.149,C,Supplier 22,8
SKU00071,Lipstick Pro,Beauty,SEL0107,243.18,171.17,3.92,4.564,B,Supplier 16,6
SKU00072,Bedsheet Set Essential,Home,SEL0114,8959.24,6769.78,2.2,3.368,B,Supplier 27,4
SKU00073,Charger Plus,Electronics,SEL0085,998.23,867.66,1.74,3.571,C,Supplier 46,14
SKU00074,Mouse Deluxe,Electronics,SEL0026,7751.44,5681.87,7.49,6.616,B,Supplier 28,11
SKU00075,Lipstick Classic,Beauty,SEL0088,2137.28,1714.84,0.84,0.915,B,Supplier 31,3
SKU00076,Face Wash Pro,Beauty,SEL0027,2792.44,2157.69,2.92,2.562,B,Supplier 21,5
SKU00077,Cushion Cover Plus,Home,SEL0040,3918.19,2528.25,7.44,6.992,A,Supplier 4,10
SKU00078,Bluetooth Speaker Plus,Electronics,SEL0018,2352.3,1533.87,6.05,11.784,C,Supplier 9,14
SKU00079,Bluetooth Speaker Pro,Electronics,SEL0150,6301.44,4863.08,7.59,12.202,C,Supplier 55,15
SKU00080,Mouse Deluxe,Electronics,SEL0026,8265.54,6023.78,7.77,10.358,B,Supplier 47,5
SKU00081,Lipstick Pro,Beauty,SEL0088,1034.9,836.66,0.87,1.751,C,Supplier 35,10
SKU00082,Curtain Max,Home,SEL0054,7495.59,5223.71,7.42,15.626,B,Supplier 46,3
SKU00083,Power Bank Lite,Electronics,SEL0050,9300.75,6849.78,5.29,8.338,B,Supplier 58,5
SKU00084,Earbuds Max,Electronics,SEL0052,1479.61,1208.11,5.8,7.799,B,Supplier 47,5
SKU00085,Mouse Essential,Electronics,SEL0085,4792.15,3148.47,7.42,12.142,C,Supplier 59,8
SKU00086,Atta 10kg Deluxe,Grocery,SEL0008,1583.9,1011.59,4.65,3.75,A,Supplier 56,7
SKU00087,Sunglasses Lite,Fashion,SEL0103,170.72,115.0,6.82,10.196,B,Supplier 27,12
SKU00088,Atta 10kg Essential,Grocery,SEL0001,1329.47,860.25,3.02,4.805,B,Supplier 40,9
SKU00089,Tea Pack Essential,Grocery,SEL0025,1762.44,1266.65,7.73,16.612,C,Supplier 51,7
SKU00090,Keyboard Plus,Electronics,SEL0029,13907.0,10547.52,0.85,1.645,B,Supplier 15,14
SKU00091,Charger Deluxe,Electronics,SEL0085,9815.15,7317.96,2.99,4.14,A,Supplier 52,11
SKU00092,Cookware Set Essential,Home,SEL0120,4464.89,3470.01,7.0,5.835,C,Supplier 30,12
SKU00093,Lipstick Plus,Beauty,SEL0070,653.29,450.31,3.05,5.082,A,Supplier 35,12
SKU00094,Sunscreen Lite,Beauty,SEL0070,697.5,575.1,1.55,1.987,A,Supplier 31,7
SKU00095,Novel Max,Books,SEL0143,3227.78,2031.98,0.69,1.182,C,Supplier 53,14
SKU00096,LED Lamp Lite,Home,SEL0096,6085.5,5218.43,4.3,9.421,C,Supplier 39,3
SKU00097,Cooking Oil 1L Plus,Grocery,SEL0007,1228.45,789.32,0.41,0.865,C,Supplier 54,6
SKU00098,Power Bank Pro,Electronics,SEL0018,12237.17,10029.72,4.3,8.953,C,Supplier 42,5
SKU00099,Mouse Lite,Electronics,SEL0060,1320.07,832.36,2.52,2.684,B,Supplier 12,3
SKU00100,Moisturizer Pro,Beauty,SEL0145,3193.89,2174.89,6.65,14.406,C,Supplier 22,15
SKU00101,Shampoo Pro,Beauty,SEL0142,2790.66,1999.68,4.37,8.996,C,Supplier 26,4
SKU00102,Spice Combo Lite,Grocery,SEL0106,1546.51,1168.19,2.92,3.936,A,Supplier 43,8
SKU00103,Comic Set Essential,Books,SEL0012,1792.96,1142.88,4.92,4.178,A,Supplier 51,13
SKU00104,Cooking Oil 1L Deluxe,Grocery,SEL0031,809.67,585.83,7.49,16.239,B,Supplier 34,11
SKU00105,Tea Pack Classic,Grocery,SEL0008,253.94,205.15,4.57,9.494,C,Supplier 39,14
SKU00106,Handbag Classic,Fashion,SEL0094,2872.33,2011.43,6.92,14.728,B,Supplier 7,3
SKU00107,Dumbbell Set Classic,Sports,SEL0014,8349.01,5299.07,3.06,5.75,C,Supplier 25,9
SKU00108,USB Cable Max,Electronics,SEL0028,11427.67,7866.05,3.51,3.932,C,Supplier 54,3
SKU00109,Charger Deluxe,Electronics,SEL0026,2779.81,2319.81,4.01,6.125,C,Supplier 56,5
SKU00110,Cookware Set Deluxe,Home,SEL0066,8021.81,5876.46,3.4,3.038,C,Supplier 15,13
SKU00111,Perfume Plus,Beauty,SEL0035,277.8,174.54,3.78,7.77,B,Supplier 43,3
SKU00112,Perfume Essential,Beauty,SEL0010,2460.01,1638.05,3.45,5.841,C,Supplier 46,10
SKU00113,Denim Jeans Max,Fashion,SEL0095,2430.05,1673.2,7.69,10.145,B,Supplier 38,3
SKU00114,LED Lamp Lite,Home,SEL0122,12021.79,8859.95,1.76,3.244,A,Supplier 23,7
SKU00115,LED Lamp Plus,Home,SEL0030,13954.02,8987.46,2.22,2.12,C,Supplier 48,15
SKU00116,Cricket Bat Classic,Sports,SEL0024,4931.88,3552.65,7.07,13.184,C,Supplier 50,7
SKU00117,Perfume Max,Beauty,SEL0027,1486.48,1222.09,2.22,2.734,A,Supplier 42,7
SKU00118,Spice Combo Plus,Grocery,SEL0083,302.45,221.33,6.27,11.582,C,Supplier 13,4
SKU00119,Sneakers Essential,Fashion,SEL0068,839.72,639.85,1.45,2.109,B,Supplier 43,13
SKU00120,Keyboard Essential,Electronics,SEL0037,4863.29,3821.05,1.09,1.542,B,Supplier 51,5
SKU00121,Snack Pack Classic,Grocery,SEL0056,3011.1,1919.73,4.01,6.818,C,Supplier 37,9
SKU00122,Bluetooth Speaker Plus,Electronics,SEL0150,16658.39,10686.17,6.34,9.163,A,Supplier 42,3
SKU00123,Dumbbell Set Lite,Sports,SEL0003,7962.85,5972.23,4.57,7.189,C,Supplier 59,3
SKU00124,Curtain Classic,Home,SEL0017,14599.46,9532.62,7.96,16.096,C,Supplier 10,13
SKU00125,Men's T-Shirt Max,Fashion,SEL0048,1005.67,706.81,7.51,9.632,C,Supplier 37,3
SKU00126,Cricket Bat Classic,Sports,SEL0045,2830.35,2406.61,7.6,10.367,C,Supplier 1,9
SKU00127,Formal Shirt Classic,Fashion,SEL0103,727.21,479.88,2.15,4.469,A,Supplier 18,8
SKU00128,Cushion Cover Essential,Home,SEL0102,3675.39,2884.26,7.72,9.036,B,Supplier 59,4
SKU00129,Curtain Classic,Home,SEL0065,13966.26,9327.43,3.06,6.026,B,Supplier 40,11
SKU00130,Atta 10kg Lite,Grocery,SEL0001,2901.54,2485.49,1.7,2.595,C,Supplier 46,12
SKU00131,Yoga Mat Max,Sports,SEL0014,11835.18,8985.14,1.55,1.664,B,Supplier 26,15
SKU00132,Handbag Deluxe,Fashion,SEL0072,2371.44,1623.52,7.86,10.82,B,Supplier 15,5
SKU00133,Rice 5kg Classic,Grocery,SEL0139,2737.88,1838.05,0.83,1.208,B,Supplier 11,15
SKU00134,Bluetooth Speaker Lite,Electronics,SEL0028,5324.04,3530.0,7.27,13.986,B,Supplier 36,3
SKU00135,Yoga Mat Classic,Sports,SEL0042,2660.71,1689.65,3.25,3.622,C,Supplier 38,4
SKU00136,Power Bank Pro,Electronics,SEL0060,2890.19,2010.34,6.27,6.868,C,Supplier 37,10
SKU00137,Smartwatch Essential,Electronics,SEL0128,3276.31,2793.72,6.95,8.535,C,Supplier 32,14
SKU00138,Storage Box Pro,Home,SEL0114,14760.39,9387.59,5.84,8.279,C,Supplier 12,14
SKU00139,Snack Pack Essential,Grocery,SEL0080,3064.01,2060.24,2.34,2.258,B,Supplier 19,12
SKU00140,Formal Shirt Lite,Fashion,SEL0076,1961.79,1477.48,6.31,13.115,B,Supplier 46,3
SKU00141,Moisturizer Plus,Beauty,SEL0111,1644.27,1331.57,6.37,13.663,C,Supplier 49,8
SKU00142,Face Wash Deluxe,Beauty,SEL0138,1311.47,912.52,3.82,8.332,A,Supplier 36,13
SKU00143,Shampoo Deluxe,Beauty,SEL0062,1122.26,745.93,3.09,6.711,C,Supplier 47,9
SKU00144,Cooking Oil 1L Essential,Grocery,SEL0046,1245.43,875.3,5.28,10.356,A,Supplier 27,5
SKU00145,Sunglasses Plus,Fashion,SEL0034,1964.29,1430.63,0.49,0.631,C,Supplier 45,11
SKU00146,Mouse Max,Electronics,SEL0005,13307.88,11346.17,6.01,6.976,C,Supplier 14,4
SKU00147,Charger Deluxe,Electronics,SEL0112,3686.37,2653.82,6.25,7.15,B,Supplier 25,12
SKU00148,Power Bank Deluxe,Electronics,SEL0005,12268.34,8543.4,5.96,9.204,B,Supplier 8,3
SKU00149,Men's T-Shirt Plus,Fashion,SEL0068,842.62,543.76,6.5,8.381,C,Supplier 8,7
SKU00150,Women's Kurti Deluxe,Fashion,SEL0022,3539.84,2262.09,2.69,2.789,B,Supplier 8,6
SKU00151,Yoga Mat Pro,Sports,SEL0014,1483.66,929.95,0.64,0.631,C,Supplier 44,15
SKU00152,Face Wash Essential,Beauty,SEL0088,2468.56,1595.73,5.13,7.854,C,Supplier 25,12
SKU00153,Formal Shirt Max,Fashion,SEL0068,1466.43,1195.75,6.38,7.433,A,Supplier 45,11
SKU00154,Mouse Essential,Electronics,SEL0037,5858.23,4016.0,6.86,6.235,C,Supplier 13,9
SKU00155,Handbag Classic,Fashion,SEL0047,2709.96,1737.81,2.4,3.831,B,Supplier 21,6
SKU00156,Power Bank Plus,Electronics,SEL0084,10522.32,7355.2,1.12,1.983,C,Supplier 34,14
SKU00157,Formal Shirt Pro,Fashion,SEL0103,1527.19,1144.76,0.74,0.822,B,Supplier 50,15
SKU00158,Mouse Classic,Electronics,SEL0112,13915.09,9970.62,6.1,8.916,B,Supplier 5,5
SKU00159,Perfume Deluxe,Beauty,SEL0093,1741.73,1254.94,4.84,8.869,A,Supplier 25,6
SKU00160,Curtain Lite,Home,SEL0078,15184.09,11066.49,3.77,8.094,B,Supplier 35,7
SKU00161,Bluetooth Speaker Classic,Electronics,SEL0028,1397.15,1214.64,3.48,6.532,C,Supplier 42,9
SKU00162,Smartwatch Lite,Electronics,SEL0005,3019.6,1919.05,1.38,2.315,B,Supplier 24,6
SKU00163,Denim Jeans Max,Fashion,SEL0097,2396.19,1911.13,7.25,10.877,C,Supplier 30,8
SKU00164,Power Bank Deluxe,Electronics,SEL0128,3516.8,2749.43,2.04,2.383,C,Supplier 45,15
SKU00165,Earbuds Deluxe,Electronics,SEL0150,9141.66,6359.14,6.89,14.511,B,Supplier 23,7
SKU00166,Spice Combo Essential,Grocery,SEL0080,1068.69,792.85,7.89,17.193,C,Supplier 35,15
SKU00167,Cushion Cover Classic,Home,SEL0120,5451.81,3904.53,4.51,6.8,C,Supplier 25,9
SKU00168,Perfume Essential,Beauty,SEL0062,1126.32,867.2,1.06,1.128,C,Supplier 59,7
SKU00169,Bedsheet Set Classic,Home,SEL0067,12777.42,9131.35,0.22,0.273,A,Supplier 16,15
SKU00170,Keyboard Classic,Electronics,SEL0099,1003.41,854.17,4.67,3.878,C,Supplier 7,8
SKU00171,Dumbbell Set Plus,Sports,SEL0024,7260.06,5380.68,0.62,1.193,C,Supplier 8,13
SKU00172,Shampoo Classic,Beauty,SEL0002,3164.22,2264.57,1.24,1.344,C,Supplier 9,7
SKU00173,Smartwatch Plus,Electronics,SEL0109,15701.54,11441.53,2.44,3.582,B,Supplier 44,15
SKU00174,Handbag Pro,Fashion,SEL0034,1342.11,912.92,0.2,0.283,C,Supplier 15,12
SKU00175,Storage Box Essential,Home,SEL0092,14322.46,9741.4,0.87,1.275,C,Supplier 41,14
SKU00176,Smartwatch Pro,Electronics,SEL0037,3718.93,2745.2,3.34,3.498,C,Supplier 34,3
SKU00177,Tea Pack Classic,Grocery,SEL0139,2695.27,2327.45,7.4,15.782,A,Supplier 52,4
SKU00178,Charger Deluxe,Electronics,SEL0115,17261.98,10878.35,4.43,4.029,C,Supplier 4,3
SKU00179,Sunscreen Plus,Beauty,SEL0093,1509.04,1072.27,1.27,2.331,A,Supplier 42,9
SKU00180,Yoga Mat Essential,Sports,SEL0110,7879.03,5711.83,2.53,5.458,C,Supplier 2,8
SKU00181,Snack Pack Classic,Grocery,SEL0056,798.91,587.97,7.54,13.782,B,Supplier 56,15
SKU00182,Charger Max,Electronics,SEL0129,12880.35,10232.53,4.97,10.424,B,Supplier 6,6
SKU00183,Notebook Pack Deluxe,Books,SEL0104,498.48,418.97,5.41,6.901,A,Supplier 25,5
SKU00184,Handbag Essential,Fashion,SEL0072,973.69,748.55,6.77,10.345,C,Supplier 3,13
SKU00185,Curtain Deluxe,Home,SEL0067,9421.85,7837.47,7.09,10.528,A,Supplier 16,6
SKU00186,Novel Plus,Books,SEL0023,212.39,166.06,1.16,1.644,B,Supplier 32,12
SKU00187,Cookware Set Classic,Home,SEL0079,658.97,461.96,3.02,5.17,A,Supplier 25,6
SKU00188,Dumbbell Set Classic,Sports,SEL0003,7329.58,5522.04,6.49,8.625,C,Supplier 13,10
SKU00189,Face Wash Pro,Beauty,SEL0090,1712.49,1312.08,3.4,3.197,C,Supplier 50,4
SKU00190,Moisturizer Pro,Beauty,SEL0142,2275.49,1523.36,2.31,4.395,C,Supplier 16,11
SKU00191,Keyboard Deluxe,Electronics,SEL0140,789.57,584.77,4.4,4.424,B,Supplier 6,14
SKU00192,Moisturizer Pro,Beauty,SEL0149,1771.79,1158.64,2.63,3.871,C,Supplier 18,11
SKU00193,Men's T-Shirt Pro,Fashion,SEL0072,278.41,176.72,2.16,3.252,A,Supplier 33,14
SKU00194,Rice 5kg Deluxe,Grocery,SEL0064,2032.82,1280.91,2.11,3.178,C,Supplier 10,13
SKU00195,Men's T-Shirt Classic,Fashion,SEL0068,2844.3,2145.91,4.27,9.254,A,Supplier 42,10
SKU00196,Cooking Oil 1L Pro,Grocery,SEL0046,1252.48,1010.0,5.46,5.754,C,Supplier 22,15
SKU00197,Storage Box Max,Home,SEL0040,6241.24,4238.42,3.76,4.91,C,Supplier 4,9
SKU00198,Power Bank Classic,Electronics,SEL0086,14097.14,10809.09,0.36,0.537,A,Supplier 57,4
SKU00199,Charger Essential,Electronics,SEL0036,2479.35,1638.56,7.5,12.369,C,Supplier 25,10
SKU00200,Formal Shirt Deluxe,Fashion,SEL0108,1084.77,886.77,4.18,6.465,A,Supplier 27,11
SKU00201,LED Lamp Pro,Home,SEL0092,14134.53,11137.81,0.36,0.343,B,Supplier 20,5
SKU00202,Resistance Band Pro,Sports,SEL0042,4217.46,3409.91,3.06,4.098,B,Supplier 21,4
SKU00203,Power Bank Pro,Electronics,SEL0050,472.11,380.44,6.07,13.276,C,Supplier 3,11
SKU00204,Handbag Lite,Fashion,SEL0076,1229.66,820.72,6.13,12.15,C,Supplier 11,8
SKU00205,Bedsheet Set Essential,Home,SEL0066,12491.46,9692.27,7.44,6.935,C,Supplier 27,9
SKU00206,Yoga Mat Pro,Sports,SEL0116,9209.14,7902.26,6.17,11.84,C,Supplier 31,13
SKU00207,Power Bank Pro,Electronics,SEL0129,4502.28,3369.01,0.39,0.557,B,Supplier 58,11
SKU00208,Mouse Max,Electronics,SEL0059,13431.95,10562.59,7.16,9.998,B,Supplier 44,14
SKU00209,Men's T-Shirt Max,Fashion,SEL0076,936.59,680.56,1.26,1.629,C,Supplier 33,5
SKU00210,LED Lamp Essential,Home,SEL0063,4981.48,3140.12,6.29,13.553,C,Supplier 10,12
SKU00211,Sunglasses Lite,Fashion,SEL0022,708.17,466.45,4.69,5.482,C,Supplier 56,10
SKU00212,Power Bank Lite,Electronics,SEL0018,10205.74,8674.8,4.8,9.323,A,Supplier 31,3
SKU00213,Denim Jeans Classic,Fashion,SEL0077,2014.69,1674.16,7.5,15.395,A,Supplier 16,3
SKU00214,Bedsheet Set Plus,Home,SEL0049,11656.1,8639.3,1.29,1.22,C,Supplier 46,7
SKU00215,Power Bank Deluxe,Electronics,SEL0069,9124.18,5829.92,0.75,0.72,C,Supplier 39,11
SKU00216,Exam Guide Max,Books,SEL0143,1245.52,920.15,3.36,3.582,C,Supplier 51,5
SKU00217,Lipstick Plus,Beauty,SEL0038,250.45,214.53,5.25,6.692,C,Supplier 27,10
SKU00218,Perfume Deluxe,Beauty,SEL0015,2909.28,1883.86,1.13,1.41,B,Supplier 52,15
SKU00219,LED Lamp Max,Home,SEL0081,1056.38,802.72,2.07,2.774,A,Supplier 42,4
SKU00220,Cookware Set Plus,Home,SEL0040,6144.35,4706.79,4.29,8.068,B,Supplier 18,4
SKU00221,Power Bank Deluxe,Electronics,SEL0089,9827.39,6302.0,6.36,5.611,B,Supplier 59,15
SKU00222,Atta 10kg Deluxe,Grocery,SEL0105,1397.95,1173.02,4.52,4.417,C,Supplier 2,6
SKU00223,Men's T-Shirt Essential,Fashion,SEL0077,3123.91,2179.94,4.92,9.133,C,Supplier 31,14
SKU00224,Earbuds Pro,Electronics,SEL0131,8369.26,6709.79,6.89,11.766,B,Supplier 2,7
SKU00225,Keyboard Max,Electronics,SEL0029,10518.21,8469.03,0.79,1.614,C,Supplier 5,12
SKU00226,Cookware Set Max,Home,SEL0030,17135.24,11667.08,4.9,6.03,B,Supplier 41,3
SKU00227,Novel Essential,Books,SEL0006,179.49,155.78,5.85,12.451,C,Supplier 13,11
SKU00228,Smartwatch Lite,Electronics,SEL0071,6841.73,5278.75,4.2,5.895,C,Supplier 38,14
SKU00229,Storage Box Deluxe,Home,SEL0135,1347.74,1018.62,1.49,1.927,B,Supplier 17,7
SKU00230,Face Wash Essential,Beauty,SEL0027,1979.45,1265.91,0.31,0.277,B,Supplier 45,11
SKU00231,Cookware Set Classic,Home,SEL0013,14721.21,11833.47,1.63,2.613,B,Supplier 50,5
SKU00232,Face Wash Max,Beauty,SEL0088,2516.34,2075.57,3.46,6.109,C,Supplier 50,5
SKU00233,Atta 10kg Lite,Grocery,SEL0056,269.11,219.39,0.6,1.091,B,Supplier 1,3
SKU00234,Earbuds Pro,Electronics,SEL0109,15811.64,10361.57,0.76,0.633,A,Supplier 33,9
SKU00235,Charger Classic,Electronics,SEL0129,8876.64,6615.42,6.37,9.456,C,Supplier 53,9
SKU00236,Lipstick Classic,Beauty,SEL0149,2446.56,2085.22,3.85,7.857,C,Supplier 55,4
SKU00237,Handbag Classic,Fashion,SEL0103,1414.25,1075.51,4.2,6.078,B,Supplier 42,5
SKU00238,Spice Combo Classic,Grocery,SEL0046,1149.75,944.37,6.98,11.468,A,Supplier 27,10
SKU00239,Snack Pack Essential,Grocery,SEL0105,769.58,631.96,0.12,0.104,C,Supplier 11,7
SKU00240,Moisturizer Pro,Beauty,SEL0149,2226.07,1882.77,4.76,8.846,B,Supplier 34,6
SKU00241,Moisturizer Plus,Beauty,SEL0002,3137.67,2478.55,1.56,1.519,C,Supplier 37,3
SKU00242,Moisturizer Essential,Beauty,SEL0090,2940.41,1895.03,6.46,7.404,C,Supplier 45,3
SKU00243,Resistance Band Max,Sports,SEL0045,16300.41,11188.78,7.8,10.793,C,Supplier 55,11
SKU00244,Denim Jeans Pro,Fashion,SEL0074,873.97,629.92,0.59,1.241,A,Supplier 6,4
SKU00245,Curtain Essential,Home,SEL0030,1921.29,1235.46,5.82,5.215,C,Supplier 50,13
SKU00246,Women's Kurti Essential,Fashion,SEL0095,3063.02,2079.08,4.71,5.894,C,Supplier 12,10
SKU00247,Bedsheet Set Plus,Home,SEL0144,10772.3,7998.99,6.06,13.312,A,Supplier 1,6
SKU00248,Spice Combo Lite,Grocery,SEL0031,1729.98,1229.37,0.44,0.601,C,Supplier 45,11
SKU00249,Lipstick Plus,Beauty,SEL0088,2610.56,1814.53,6.33,10.601,C,Supplier 2,5
SKU00250,Mouse Pro,Electronics,SEL0091,4628.17,3336.03,6.99,12.237,A,Supplier 24,7
SKU00251,Smartwatch Classic,Electronics,SEL0089,13441.54,8829.48,4.77,7.765,B,Supplier 43,9
